PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2022,40,X,3.04534,X,X,X,X,X,X,1436,105,47154
States,Arizona,2022,40,X,1.33466,X,X,X,X,X,X,268,42,20080
States,California,2022,40,X,2.44759,X,X,X,X,X,X,7136,225,291552
States,Florida,2022,40,X,2.92512,X,X,X,X,X,X,6946,362,237460
States,Louisiana,2022,40,X,2.84618,X,X,X,X,X,X,1261,87,44305
States,Mississippi,2022,40,X,3.44256,X,X,X,X,X,X,457,31,13275
States,New Mexico,2022,40,X,2.73993,X,X,X,X,X,X,557,35,20329
States,Texas,2022,40,X,4.69311,X,X,X,X,X,X,2654,60,56551
States,Alabama,2022,41,X,4.09508,X,X,X,X,X,X,2324,108,56751
States,Arizona,2022,41,X,1.28969,X,X,X,X,X,X,264,44,20470
States,California,2022,41,X,2.69767,X,X,X,X,X,X,7892,226,292549
States,Florida,2022,41,X,2.98013,X,X,X,X,X,X,7097,361,238144
States,Louisiana,2022,41,X,3.41962,X,X,X,X,X,X,1543,87,45122
States,Mississippi,2022,41,X,4.56517,X,X,X,X,X,X,621,30,13603
States,New Mexico,2022,41,X,2.98535,X,X,X,X,X,X,644,38,21572
States,Texas,2022,41,X,5.40857,X,X,X,X,X,X,3328,62,61532
States,Alabama,2022,42,X,5.4292,X,X,X,X,X,X,2831,105,52144
States,Arizona,2022,42,X,1.35059,X,X,X,X,X,X,286,44,21176
States,California,2022,42,X,3.02693,X,X,X,X,X,X,8955,223,295844
States,Florida,2022,42,X,3.64088,X,X,X,X,X,X,8762,361,240656
States,Louisiana,2022,42,X,3.87714,X,X,X,X,X,X,1747,87,45059
States,Mississippi,2022,42,X,5.30754,X,X,X,X,X,X,705,30,13283
States,New Mexico,2022,42,X,3.45906,X,X,X,X,X,X,796,37,23012
States,Texas,2022,42,X,6.0281,X,X,X,X,X,X,3720,60,61711
States,Alabama,2022,43,X,10.2737,X,X,X,X,X,X,5912,107,57545
States,Arizona,2022,43,X,1.55061,X,X,X,X,X,X,322,44,20766
States,California,2022,43,X,3.73647,X,X,X,X,X,X,11136,223,298035
States,Florida,2022,43,X,4.78704,X,X,X,X,X,X,12160,362,254019
States,Louisiana,2022,43,X,5.29776,X,X,X,X,X,X,2538,87,47907
States,Mississippi,2022,43,X,7.21649,X,X,X,X,X,X,1050,29,14550
States,New Mexico,2022,43,X,5.01809,X,X,X,X,X,X,1165,39,23216
States,Texas,2022,43,X,7.72925,X,X,X,X,X,X,5069,61,65582
States,Alabama,2022,44,X,11.5412,X,X,X,X,X,X,6688,106,57949
States,Arizona,2022,44,X,2.65965,X,X,X,X,X,X,566,44,21281
States,California,2022,44,X,4.50526,X,X,X,X,X,X,13396,225,297341
States,Florida,2022,44,X,5.50544,X,X,X,X,X,X,14390,362,261378
States,Louisiana,2022,44,X,5.95891,X,X,X,X,X,X,2912,87,48868
States,Mississippi,2022,44,X,10.0621,X,X,X,X,X,X,1524,30,15146
States,New Mexico,2022,44,X,6.75828,X,X,X,X,X,X,1623,38,24015
States,Texas,2022,44,X,8.54895,X,X,X,X,X,X,5726,62,66979
States,Alabama,2022,45,X,8.55034,X,X,X,X,X,X,4298,108,50267
States,Arizona,2022,45,X,3.60994,X,X,X,X,X,X,837,44,23186
States,California,2022,45,X,5.45335,X,X,X,X,X,X,16348,226,299779
States,Florida,2022,45,X,6.01916,X,X,X,X,X,X,14928,361,248008
States,Louisiana,2022,45,X,5.20374,X,X,X,X,X,X,2503,87,48100
States,Mississippi,2022,45,X,8.15098,X,X,X,X,X,X,1259,30,15446
States,New Mexico,2022,45,X,7.66835,X,X,X,X,X,X,1945,39,25364
States,Texas,2022,45,X,9.8796,X,X,X,X,X,X,5063,61,51247
States,Alabama,2022,46,X,6.9431,X,X,X,X,X,X,3369,108,48523
States,Arizona,2022,46,X,4.44472,X,X,X,X,X,X,1071,44,24096
States,California,2022,46,X,6.47208,X,X,X,X,X,X,20087,223,310364
States,Florida,2022,46,X,5.48824,X,X,X,X,X,X,14127,362,257405
States,Louisiana,2022,46,X,4.95741,X,X,X,X,X,X,2130,87,42966
States,Mississippi,2022,46,X,7.34942,X,X,X,X,X,X,1014,31,13797
States,New Mexico,2022,46,X,9.19738,X,X,X,X,X,X,2301,38,25018
States,Texas,2022,46,X,9.87538,X,X,X,X,X,X,3677,50,37234
States,Alabama,2022,47,X,7.48371,X,X,X,X,X,X,3400,104,45432
States,Arizona,2022,47,X,5.1742,X,X,X,X,X,X,1099,43,21240
States,California,2022,47,X,8.85566,X,X,X,X,X,X,22774,223,257169
States,Florida,2022,47,X,5.89708,X,X,X,X,X,X,13872,361,235235
States,Louisiana,2022,47,X,5.74114,X,X,X,X,X,X,2559,87,44573
States,Mississippi,2022,47,X,9.39057,X,X,X,X,X,X,1282,31,13652
States,New Mexico,2022,47,X,13.9264,X,X,X,X,X,X,3250,36,23337
States,Texas,2022,47,X,9.18269,X,X,X,X,X,X,4948,61,53884
States,Alabama,2022,48,X,6.18675,X,X,X,X,X,X,3240,108,52370
States,Arizona,2022,48,X,5.40803,X,X,X,X,X,X,1391,43,25721
States,California,2022,48,X,8.20078,X,X,X,X,X,X,26030,221,317409
States,Florida,2022,48,X,5.74952,X,X,X,X,X,X,15284,360,265831
States,Louisiana,2022,48,X,5.05071,X,X,X,X,X,X,2440,87,48310
States,Mississippi,2022,48,X,7.83277,X,X,X,X,X,X,1111,32,14184
States,New Mexico,2022,48,X,14.0904,X,X,X,X,X,X,3876,38,27508
States,Texas,2022,48,X,8.16427,X,X,X,X,X,X,5139,59,62945
States,Alabama,2022,49,X,4.65066,X,X,X,X,X,X,2343,107,50380
States,Arizona,2022,49,X,5.36996,X,X,X,X,X,X,1130,33,21043
States,California,2022,49,X,7.18702,X,X,X,X,X,X,21518,223,299401
States,Florida,2022,49,X,5.73731,X,X,X,X,X,X,15359,360,267704
States,Louisiana,2022,49,X,3.99378,X,X,X,X,X,X,1850,87,46322
States,Mississippi,2022,49,X,5.95238,X,X,X,X,X,X,780,31,13104
States,New Mexico,2022,49,X,16.6005,X,X,X,X,X,X,4221,34,25427
States,Texas,2022,49,X,7.90764,X,X,X,X,X,X,4644,58,58728
States,Alabama,2022,50,X,4.16466,X,X,X,X,X,X,1902,107,45670
States,Arizona,2022,50,X,4.17597,X,X,X,X,X,X,954,43,22845
States,California,2022,50,X,6.43924,X,X,X,X,X,X,18479,220,286975
States,Florida,2022,50,X,6.28252,X,X,X,X,X,X,16677,361,265451
States,Louisiana,2022,50,X,3.61443,X,X,X,X,X,X,1537,87,42524
States,Mississippi,2022,50,X,5.27225,X,X,X,X,X,X,641,31,12158
States,New Mexico,2022,50,X,16.9512,X,X,X,X,X,X,3972,35,23432
States,Texas,2022,50,X,7.05818,X,X,X,X,X,X,4013,58,56856
States,Alabama,2022,51,X,3.98366,X,X,X,X,X,X,1707,104,42850
States,Arizona,2022,51,X,4.25122,X,X,X,X,X,X,905,43,21288
States,California,2022,51,X,6.48097,X,X,X,X,X,X,17211,209,265562
States,Florida,2022,51,X,6.50865,X,X,X,X,X,X,16102,360,247394
States,Louisiana,2022,51,X,3.26298,X,X,X,X,X,X,1226,87,37573
States,Mississippi,2022,51,X,5.01545,X,X,X,X,X,X,552,29,11006
States,New Mexico,2022,51,X,15.4059,X,X,X,X,X,X,3232,35,20979
States,Texas,2022,51,X,6.69468,X,X,X,X,X,X,3075,57,45932
States,Alabama,2022,52,X,4.22199,X,X,X,X,X,X,1946,105,46092
States,Arizona,2022,52,X,3.90219,X,X,X,X,X,X,857,44,21962
States,California,2022,52,X,6.47401,X,X,X,X,X,X,15272,218,235897
States,Florida,2022,52,X,6.3677,X,X,X,X,X,X,16271,358,255524
States,Louisiana,2022,52,X,3.77775,X,X,X,X,X,X,1676,87,44365
States,Mississippi,2022,52,X,5.84303,X,X,X,X,X,X,743,30,12716
States,New Mexico,2022,52,X,12.2154,X,X,X,X,X,X,2645,37,21653
States,Texas,2022,52,X,6.58356,X,X,X,X,X,X,3871,53,58798
States,Alabama,2023,1,X,3.41889,X,X,X,X,X,X,1681,103,49168
States,Arizona,2023,1,X,2.59132,X,X,X,X,X,X,559,43,21572
States,California,2023,1,X,5.36975,X,X,X,X,X,X,13217,220,246138
States,Florida,2023,1,X,5.2658,X,X,X,X,X,X,14582,358,276919
States,Louisiana,2023,1,X,2.98517,X,X,X,X,X,X,1369,87,45860
States,Mississippi,2023,1,X,4.03377,X,X,X,X,X,X,516,31,12792
States,New Mexico,2023,1,X,7.90007,X,X,X,X,X,X,1714,39,21696
States,Texas,2023,1,X,5.28723,X,X,X,X,X,X,2751,56,52031
States,Alabama,2023,2,X,2.64606,X,X,X,X,X,X,1250,106,47240
States,Arizona,2023,2,X,1.71346,X,X,X,X,X,X,379,44,22119
States,California,2023,2,X,3.86336,X,X,X,X,X,X,10907,220,282319
States,Florida,2023,2,X,4.13728,X,X,X,X,X,X,10502,360,253838
States,Louisiana,2023,2,X,2.11782,X,X,X,X,X,X,888,87,41930
States,Mississippi,2023,2,X,3.38462,X,X,X,X,X,X,407,31,12025
States,New Mexico,2023,2,X,4.57795,X,X,X,X,X,X,935,36,20424
States,Texas,2023,2,X,4.12182,X,X,X,X,X,X,2443,59,59270
States,Alabama,2023,3,X,2.43721,X,X,X,X,X,X,1147,103,47062
States,Arizona,2023,3,X,1.42827,X,X,X,X,X,X,335,44,23455
States,California,2023,3,X,3.29358,X,X,X,X,X,X,8614,220,261539
States,Florida,2023,3,X,3.87619,X,X,X,X,X,X,9817,360,253264
States,Louisiana,2023,3,X,1.96965,X,X,X,X,X,X,841,87,42698
States,Mississippi,2023,3,X,3.58966,X,X,X,X,X,X,450,32,12536
States,New Mexico,2023,3,X,4.04113,X,X,X,X,X,X,786,36,19450
States,Texas,2023,3,X,3.70605,X,X,X,X,X,X,2107,45,56853
States,Alabama,2023,4,X,2.92505,X,X,X,X,X,X,1334,101,45606
States,Arizona,2023,4,X,1.55686,X,X,X,X,X,X,341,44,21903
States,California,2023,4,X,3.20698,X,X,X,X,X,X,9287,218,289587
States,Florida,2023,4,X,3.69914,X,X,X,X,X,X,9525,360,257492
States,Louisiana,2023,4,X,2.04602,X,X,X,X,X,X,835,87,40811
States,Mississippi,2023,4,X,3.53882,X,X,X,X,X,X,438,32,12377
States,New Mexico,2023,4,X,3.98536,X,X,X,X,X,X,784,35,19672
States,Texas,2023,4,X,3.82218,X,X,X,X,X,X,2048,43,53582
States,Alabama,2023,5,X,2.7485,X,X,X,X,X,X,1335,106,48572
States,Arizona,2023,5,X,1.73303,X,X,X,X,X,X,393,44,22677
States,California,2023,5,X,3.42504,X,X,X,X,X,X,10071,221,294040
States,Florida,2023,5,X,3.72095,X,X,X,X,X,X,9701,359,260713
States,Louisiana,2023,5,X,1.83654,X,X,X,X,X,X,755,87,41110
States,Mississippi,2023,5,X,3.49622,X,X,X,X,X,X,435,32,12442
States,New Mexico,2023,5,X,4.02995,X,X,X,X,X,X,872,36,21638
States,Texas,2023,5,X,3.51183,X,X,X,X,X,X,1633,42,46500
States,Alabama,2023,6,X,2.69995,X,X,X,X,X,X,1350,106,50001
States,Arizona,2023,6,X,1.77795,X,X,X,X,X,X,405,43,22779
States,California,2023,6,X,3.55255,X,X,X,X,X,X,10583,220,297899
States,Florida,2023,6,X,3.63625,X,X,X,X,X,X,9537,360,262276
States,Louisiana,2023,6,X,1.93694,X,X,X,X,X,X,825,87,42593
States,Mississippi,2023,6,X,3.43878,X,X,X,X,X,X,437,31,12708
States,New Mexico,2023,6,X,4.3698,X,X,X,X,X,X,925,36,21168
States,Texas,2023,6,X,3.36758,X,X,X,X,X,X,1878,45,55767
States,Alabama,2023,7,X,2.57543,X,X,X,X,X,X,1253,107,48652
States,Arizona,2023,7,X,1.62053,X,X,X,X,X,X,360,44,22215
States,California,2023,7,X,3.62101,X,X,X,X,X,X,10451,214,288621
States,Florida,2023,7,X,3.46929,X,X,X,X,X,X,8970,359,258554
States,Louisiana,2023,7,X,1.64221,X,X,X,X,X,X,685,87,41712
States,Mississippi,2023,7,X,3.17177,X,X,X,X,X,X,373,30,11760
States,New Mexico,2023,7,X,4.04369,X,X,X,X,X,X,833,37,20600
States,Texas,2023,7,X,3.2415,X,X,X,X,X,X,1666,43,51396
States,Alabama,2023,8,X,2.32132,X,X,X,X,X,X,1128,105,48593
States,Arizona,2023,8,X,1.83234,X,X,X,X,X,X,393,43,21448
States,California,2023,8,X,3.88868,X,X,X,X,X,X,10049,222,258417
States,Florida,2023,8,X,3.2884,X,X,X,X,X,X,8831,359,268550
States,Louisiana,2023,8,X,1.49511,X,X,X,X,X,X,641,87,42873
States,Mississippi,2023,8,X,2.56283,X,X,X,X,X,X,309,28,12057
States,New Mexico,2023,8,X,4.0857,X,X,X,X,X,X,902,37,22077
States,Texas,2023,8,X,2.98713,X,X,X,X,X,X,1711,45,57279
States,Alabama,2023,9,X,1.96316,X,X,X,X,X,X,841,105,42839
States,Arizona,2023,9,X,1.62191,X,X,X,X,X,X,363,44,22381
States,California,2023,9,X,3.53505,X,X,X,X,X,X,10152,211,287181
States,Florida,2023,9,X,3.15107,X,X,X,X,X,X,8502,360,269813
States,Louisiana,2023,9,X,1.21087,X,X,X,X,X,X,518,87,42779
States,Mississippi,2023,9,X,2.88288,X,X,X,X,X,X,368,31,12765
States,New Mexico,2023,9,X,4.18948,X,X,X,X,X,X,926,38,22103
States,Texas,2023,9,X,3.01918,X,X,X,X,X,X,1843,59,61043
States,Alabama,2023,10,X,1.88344,X,X,X,X,X,X,891,105,47307
States,Arizona,2023,10,X,1.52924,X,X,X,X,X,X,352,43,23018
States,California,2023,10,X,3.42857,X,X,X,X,X,X,9846,210,287175
States,Florida,2023,10,X,3.08992,X,X,X,X,X,X,8331,360,269619
States,Louisiana,2023,10,X,1.25003,X,X,X,X,X,X,533,87,42639
States,Mississippi,2023,10,X,2.44941,X,X,X,X,X,X,305,30,12452
States,New Mexico,2023,10,X,3.98529,X,X,X,X,X,X,910,40,22834
States,Texas,2023,10,X,2.98894,X,X,X,X,X,X,1778,60,59486
States,Alabama,2023,11,X,1.89721,X,X,X,X,X,X,873,105,46015
States,Arizona,2023,11,X,1.67938,X,X,X,X,X,X,370,43,22032
States,California,2023,11,X,3.29907,X,X,X,X,X,X,9390,205,284626
States,Florida,2023,11,X,3.05709,X,X,X,X,X,X,7811,360,255504
States,Louisiana,2023,11,X,1.47728,X,X,X,X,X,X,610,87,41292
States,Mississippi,2023,11,X,2.52094,X,X,X,X,X,X,304,32,12059
States,New Mexico,2023,11,X,3.84528,X,X,X,X,X,X,851,40,22131
States,Texas,2023,11,X,2.45286,X,X,X,X,X,X,1336,59,54467
States,Alabama,2023,12,X,1.88851,X,X,X,X,X,X,894,104,47339
States,Arizona,2023,12,X,1.08945,X,X,X,X,X,X,332,43,30474
States,California,2023,12,X,3.28989,X,X,X,X,X,X,9337,208,283809
States,Florida,2023,12,X,2.92014,X,X,X,X,X,X,7575,359,259405
States,Louisiana,2023,12,X,1.54275,X,X,X,X,X,X,664,87,43040
States,Mississippi,2023,12,X,2.20874,X,X,X,X,X,X,273,30,12360
States,New Mexico,2023,12,X,3.36738,X,X,X,X,X,X,689,38,20461
States,Texas,2023,12,X,2.28697,X,X,X,X,X,X,1255,42,54876
States,Alabama,2023,13,X,1.68047,X,X,X,X,X,X,783,106,46594
States,Arizona,2023,13,X,1.44369,X,X,X,X,X,X,311,44,21542
States,California,2023,13,X,3.35144,X,X,X,X,X,X,9267,208,276508
States,Florida,2023,13,X,2.84819,X,X,X,X,X,X,7462,358,261991
States,Louisiana,2023,13,X,1.38087,X,X,X,X,X,X,600,87,43451
States,Mississippi,2023,13,X,1.98629,X,X,X,X,X,X,255,32,12838
States,New Mexico,2023,13,X,3.51111,X,X,X,X,X,X,765,37,21788
States,Texas,2023,13,X,2.43677,X,X,X,X,X,X,1424,45,58438
States,Alabama,2023,14,X,1.51119,X,X,X,X,X,X,706,106,46718
States,Arizona,2023,14,X,1.24575,X,X,X,X,X,X,271,43,21754
States,California,2023,14,X,3.18623,X,X,X,X,X,X,8525,207,267558
States,Florida,2023,14,X,2.80077,X,X,X,X,X,X,7263,359,259322
States,Louisiana,2023,14,X,1.29308,X,X,X,X,X,X,550,87,42534
States,Mississippi,2023,14,X,2.15714,X,X,X,X,X,X,274,32,12702
States,New Mexico,2023,14,X,3.27198,X,X,X,X,X,X,720,39,22005
States,Texas,2023,14,X,2.57977,X,X,X,X,X,X,1406,44,54501
States,Alabama,2023,15,X,1.60424,X,X,X,X,X,X,750,104,46751
States,Arizona,2023,15,X,1.40551,X,X,X,X,X,X,330,43,23479
States,California,2023,15,X,3.02217,X,X,X,X,X,X,8204,206,271461
States,Florida,2023,15,X,2.91754,X,X,X,X,X,X,7401,359,253673
States,Louisiana,2023,15,X,1.32646,X,X,X,X,X,X,551,87,41539
States,Mississippi,2023,15,X,1.94666,X,X,X,X,X,X,246,30,12637
States,New Mexico,2023,15,X,2.94156,X,X,X,X,X,X,677,39,23015
States,Texas,2023,15,X,2.55892,X,X,X,X,X,X,1520,43,59400
States,Alabama,2023,16,X,1.62293,X,X,X,X,X,X,770,104,47445
States,Arizona,2023,16,X,1.23935,X,X,X,X,X,X,285,44,22996
States,California,2023,16,X,2.86897,X,X,X,X,X,X,7882,207,274733
States,Florida,2023,16,X,2.80935,X,X,X,X,X,X,7234,358,257497
States,Louisiana,2023,16,X,1.2398,X,X,X,X,X,X,521,87,42023
States,Mississippi,2023,16,X,2.2384,X,X,X,X,X,X,289,31,12911
States,New Mexico,2023,16,X,2.71603,X,X,X,X,X,X,617,38,22717
States,Texas,2023,16,X,2.68883,X,X,X,X,X,X,1671,58,62146
States,Alabama,2023,17,X,1.66402,X,X,X,X,X,X,795,104,47776
States,Arizona,2023,17,X,1.34099,X,X,X,X,X,X,306,43,22819
States,California,2023,17,X,2.66504,X,X,X,X,X,X,7566,208,283898
States,Florida,2023,17,X,2.91901,X,X,X,X,X,X,7420,359,254196
States,Louisiana,2023,17,X,1.36001,X,X,X,X,X,X,573,87,42132
States,Mississippi,2023,17,X,1.98899,X,X,X,X,X,X,253,30,12720
States,New Mexico,2023,17,X,3.0382,X,X,X,X,X,X,688,37,22645
States,Texas,2023,17,X,2.58831,X,X,X,X,X,X,1593,59,61546
States,Alabama,2023,18,X,1.77523,X,X,X,X,X,X,789,104,44445
States,Arizona,2023,18,X,1.50061,X,X,X,X,X,X,330,42,21991
States,California,2023,18,X,2.8112,X,X,X,X,X,X,7901,205,281054
States,Florida,2023,18,X,2.95376,X,X,X,X,X,X,7434,359,251679
States,Louisiana,2023,18,X,1.44015,X,X,X,X,X,X,615,87,42704
States,Mississippi,2023,18,X,1.86675,X,X,X,X,X,X,232,30,12428
States,New Mexico,2023,18,X,2.81782,X,X,X,X,X,X,645,37,22890
States,Texas,2023,18,X,2.90948,X,X,X,X,X,X,1674,59,57536
States,Alabama,2023,19,X,1.62275,X,X,X,X,X,X,744,104,45848
States,Arizona,2023,19,X,1.25174,X,X,X,X,X,X,279,44,22289
States,California,2023,19,X,2.87044,X,X,X,X,X,X,8167,202,284521
States,Florida,2023,19,X,2.8798,X,X,X,X,X,X,7242,356,251476
States,Louisiana,2023,19,X,1.24931,X,X,X,X,X,X,542,87,43384
States,Mississippi,2023,19,X,1.60496,X,X,X,X,X,X,189,28,11776
States,New Mexico,2023,19,X,2.54256,X,X,X,X,X,X,563,37,22143
States,Texas,2023,19,X,2.57569,X,X,X,X,X,X,1511,57,58664
States,Alabama,2023,20,X,1.54993,X,X,X,X,X,X,736,104,47486
States,Arizona,2023,20,X,1.24032,X,X,X,X,X,X,269,44,21688
States,California,2023,20,X,2.82237,X,X,X,X,X,X,8073,203,286036
States,Florida,2023,20,X,2.87266,X,X,X,X,X,X,7204,358,250778
States,Louisiana,2023,20,X,1.28033,X,X,X,X,X,X,553,87,43192
States,Mississippi,2023,20,X,1.73369,X,X,X,X,X,X,216,30,12459
States,New Mexico,2023,20,X,2.60729,X,X,X,X,X,X,548,38,21018
States,Texas,2023,20,X,2.64719,X,X,X,X,X,X,1165,57,44009
States,Alabama,2023,21,X,1.43912,X,X,X,X,X,X,622,103,43221
States,Arizona,2023,21,X,1.28521,X,X,X,X,X,X,282,44,21942
